tax	superkingdom	group
2	Bacteria	Bacteria
1224	Bacteria	Pseudomonadota
4751	Eukaryota	Fungi
33208	Eukaryota	Metazoa
2157	Archaea	Archaea
40674	Eukaryota	Mammalia
33090	Eukaryota	Viridiplantae
1239	Bacteria	Bacillota
2759	Eukaryota	Eukaryota
3193	Eukaryota	Embryophyta
201174	Bacteria	Actinomycetota
1117	Bacteria	Cyanobacteriota
33682	Eukaryota	Euglenozoa
3041	Eukaryota	Chlorophyta
2763	Eukaryota	Rhodophyta
287987	Eukaryota	Nephridiophagidae
5204	Eukaryota	Basidiomycota
2836	Eukaryota	Bacillariophyta
4762	Eukaryota	Oomycota
4890	Eukaryota	Ascomycota
5794	Eukaryota	Apicomplexa
39119	Eukaryota	Dictyochophyceae
38254	Eukaryota	Glaucocystophyceae
29197	Eukaryota	Chlorarachniophyceae
38410	Eukaryota	Raphidophyceae
5747	Eukaryota	Eustigmatophyceae
2864	Eukaryota	Dinophyceae
877183	Eukaryota	Colpodellida
3027	Eukaryota	Cryptophyceae
2830	Eukaryota	Haptophyta
2833	Eukaryota	Xanthophyceae
2870	Eukaryota	Phaeophyceae
2825	Eukaryota	Chrysophyceae
3699	Eukaryota	Brassicales
28890	Archaea	Euryarchaeota
543	Bacteria	Enterobacteriaceae
33084	Eukaryota	Entamoebidae
33154	Eukaryota	Opisthokonta
7742	Eukaryota	Vertebrata
33630	Eukaryota	Alveolata
200918	Bacteria	Thermotogota
200940	Bacteria	Thermodesulfobacteriota
544448	Bacteria	Mycoplasmatota
508458	Bacteria	Synergistota
203691	Bacteria	Spirochaetota
40117	Bacteria	Nitrospirota
142182	Bacteria	Gemmatimonadota
32066	Bacteria	Fusobacteriota
1783270	Bacteria	FCB group
74152	Bacteria	Elusimicrobiota
68297	Bacteria	Dictyoglomota
1297	Bacteria	Deinococcota
200930	Bacteria	Deferribacterota
200938	Bacteria	Chrysiogenota
200795	Bacteria	Chloroflexota
1783257	Bacteria	PVC group
67814	Bacteria	Caldisericota
68336	Bacteria	Bacteroidota/Chlorobiota group
200783	Bacteria	Aquificota
91347	Bacteria	Enterobacterales
204428	Bacteria	Chlamydiota
183924	Archaea	Thermoprotei
183967	Archaea	Thermoplasmata
203682	Bacteria	Planctomycetota
3035	Eukaryota	Euglenida
3052	Eukaryota	Chlamydomonas
183988	Archaea	Methanopyri
224756	Archaea	Methanomicrobia
183939	Archaea	Methanococci
183925	Archaea	Methanobacteria
1293497	Bacteria	Nitrospinota
543769	Eukaryota	Rhizaria
33634	Eukaryota	Stramenopiles
6656	Eukaryota	Arthropoda
2182	Archaea	Methanococcales
651137	Archaea	Nitrososphaerota
451864	Eukaryota	Dikarya
3195	Eukaryota	Marchantiophyta
58023	Eukaryota	Tracheophyta
58024	Eukaryota	Spermatophyta
3398	Eukaryota	Magnoliopsida
85007	Bacteria	Mycobacteriales
4070	Eukaryota	Solanaceae
71274	Eukaryota	asterids
3803	Eukaryota	Fabaceae
590	Bacteria	Salmonella
35493	Eukaryota	Streptophyta
91827	Eukaryota	Gunneridae
183963	Archaea	Halobacteria
4479	Eukaryota	Poaceae
118882	Bacteria	Brucellaceae
356	Bacteria	Hyphomicrobiales
234	Bacteria	Brucella
2826938	Bacteria	Brucella/Ochrobactrum group
210	Bacteria	Helicobacter pylori
666	Bacteria	Vibrio cholerae
662	Bacteria	Vibrio
4004	Eukaryota	Linaceae
3977	Eukaryota	Euphorbiaceae
4210	Eukaryota	Asteraceae
3465	Eukaryota	Papaveraceae
4136	Eukaryota	Lamiaceae
3700	Eukaryota	Brassicaceae
3440	Eukaryota	Ranunculaceae
3455	Eukaryota	Menispermaceae
3401	Eukaryota	Magnoliaceae
41773	Eukaryota	Berberidaceae
300275	Eukaryota	Lachancea
203692	Bacteria	Spirochaetia
4437	Eukaryota	Plumbaginaceae
71275	Eukaryota	rosids
82115	Bacteria	Rhizobiaceae
4037	Eukaryota	Apiaceae
71239	Eukaryota	Cucurbitales
91835	Eukaryota	fabids
3629	Eukaryota	Malvaceae
24966	Eukaryota	Rubiaceae
27065	Eukaryota	Theaceae
78536	Eukaryota	Euphyllophyta
5506	Eukaryota	Fusarium
396	Bacteria	Rhizobium phaseoli
192	Bacteria	Azospirillum brasilense
193	Bacteria	Azospirillum lipoferum
434	Bacteria	Acetobacter
49222	Eukaryota	Sphaceloma
55067	Eukaryota	Phaeosphaeria
131221	Eukaryota	Streptophytina
3745	Eukaryota	Rosaceae
554915	Eukaryota	Amoebozoa
2232	Archaea	Archaeoglobaceae
2159	Archaea	Methanobacteriaceae
146	Bacteria	Spirochaeta
976	Bacteria	Bacteroidota
69541	Bacteria	Desulfuromonadales
72025	Eukaryota	Fabales
3481	Eukaryota	Cannabaceae
3744	Eukaryota	Rosales
1883	Bacteria	Streptomyces
183980	Archaea	Archaeoglobi
4219	Eukaryota	Artemisia
94695	Archaea	Methanosarcinales
3042	Eukaryota	Chlamydomonadales
159385	Eukaryota	Nothapodytes
16921	Eukaryota	Camptotheca
26468	Eukaryota	Loganiaceae
4056	Eukaryota	Apocynaceae
4118	Eukaryota	Convolvulaceae
3568	Eukaryota	Caryophyllaceae
3208	Eukaryota	Bryophyta
3524	Eukaryota	Caryophyllales
85894	Eukaryota	Jacquinia
26339	Eukaryota	Iridaceae
41768	Eukaryota	Ranunculales
71240	Eukaryota	eudicotyledons
3313	Eukaryota	Pinidae
4734	Eukaryota	commelinids
41946	Eukaryota	Saxifragales
68459	Eukaryota	Giardiinae
93681	Bacteria	Roseateles
204457	Bacteria	Sphingomonadales
204455	Bacteria	Rhodobacterales
191412	Bacteria	Chlorobiaceae
1046	Bacteria	Chromatiaceae
204441	Bacteria	Rhodospirillales
191411	Bacteria	Chlorobiales
135613	Bacteria	Chromatiales
207245	Eukaryota	Fornicata
6157	Eukaryota	Platyhelminthes
5719	Eukaryota	Parabasalia
73496	Eukaryota	Asparagales
4036	Eukaryota	Apiales
21571	Eukaryota	Boraginaceae
40553	Eukaryota	Allioideae
4447	Eukaryota	Liliopsida
131567	""	cellular organisms
16739	Eukaryota	Piperaceae
2207	Archaea	Methanosarcina
1236	Bacteria	Gammaproteobacteria
28216	Bacteria	Betaproteobacteria
